Area,Region,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q1 2017,Q1 2017,Q1 2017,Q1 2018,Q1 2018,Q1 2018,Q1 2018,Q1 2019,Q1 2019,Q1 2019,Q1 2019,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2021,Q1 2021,Q1 2021,Q1 2021,Q1 2022,Q1 2022,Q1 2022,Q1 2022,Q1 2023,Q1 2023,Q1 2023,Q1 2023,Q1 2024,Q1 2024,Q1 2024,Q1 2024,Q1 2025
Peth Areas,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivaji Nagar,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deccan Gymkhana,CBD - Pune,21.45081,22.04843,22.87955,23.22585,23.50091,23.6988,24.81289,25.72119,26.48899,25.93491,27.18752,27.00151,26.89861,26.79769,26.7502,25.54507,26.19809,27.38739,28.99818,30.06874,29.65714,29.79368,29.46717,29.04765,28.79436,28.81612,29.1367,29.05952,29.17034,29.27126,29.53049,29.83128,31.90908,32.73624,33.47237,34.49346,35.23949,35.77379,37.66162,38
Model Colony,CBD - Pune,19.47508,20.01765,20.77222,21.08663,21.33635,21.51601,22.5275,23.35213,24.04921,23.54616,24.68341,24.51453,24.42111,24.32948,24.28636,23.19224,23.78511,24.86486,26.32729,27.29925,26.92556,27.04952,26.75309,26.37221,26.14224,26.16201,26.45305,26.38299,26.4836,26.57522,,,,,,,,,,
Shaniwar Wada,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swargate,CBD - Pune,16.65261,17.11654,17.76176,18.03059,18.24413,18.39775,19.26264,19.96777,20.56382,20.13368,21.1061,20.9617,20.88182,20.80347,20.7666,19.83104,20.33799,21.26126,22.51174,23.34284,23.0233,23.1293,22.87583,22.55015,22.35351,22.37041,22.61928,22.55937,22.64539,22.72374,22.92499,23.15849,24.77152,25.41366,25.98513,26.77782,27.35698,27.77175,29.23731,29.5
Tilak Road,CBD - Pune,20.88632,21.46821,22.27746,22.61464,22.88247,23.07514,24.15992,25.04432,25.79191,25.25241,26.47206,26.29094,26.19075,26.09249,26.04624,24.87283,25.50867,26.66667,28.23507,29.27746,28.87669,29.00963,28.69171,28.28324,28.03661,28.0578,28.36994,28.2948,28.4027,28.50096,28.75337,29.04624,31.06936,31.87476,32.59152,33.58574,34.31214,34.83237,36.67052,37
Bhandarkar Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganeshkhind Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokhale Nagar,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senapati Bapat Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp,CBD - Pune,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Pulgate,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shankar Sheth Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajirao Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laxmi Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangamwadi,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khadki,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Hills,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhosale Nagar,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune University,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bund Garden,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune Railway Station,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tadiwala Road,CBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishrantwadi,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
